Access Distance : 1,  Cummulative Freq : 2250770
Access Distance : 2,  Cummulative Freq : 2316814
Access Distance : 3,  Cummulative Freq : 2349531
Access Distance : 4,  Cummulative Freq : 2350291
Access Distance : 5,  Cummulative Freq : 2350680
Access Distance : 6,  Cummulative Freq : 2350882
Access Distance : 7,  Cummulative Freq : 2351129
Access Distance : 8,  Cummulative Freq : 2351554
Access Distance : 9,  Cummulative Freq : 2351833
Access Distance : 10,  Cummulative Freq : 2352121
Access Distance : 11,  Cummulative Freq : 2352221
Access Distance : 12,  Cummulative Freq : 2352517
Access Distance : 13,  Cummulative Freq : 2352602
Access Distance : 14,  Cummulative Freq : 2352866
Access Distance : 15,  Cummulative Freq : 2352926
Access Distance : 16,  Cummulative Freq : 2353058
Access Distance : 17,  Cummulative Freq : 2353103
Access Distance : 18,  Cummulative Freq : 2353224
Access Distance : 19,  Cummulative Freq : 2353265
Access Distance : 20,  Cummulative Freq : 2353308
Access Distance : 21,  Cummulative Freq : 2353347
Access Distance : 22,  Cummulative Freq : 2353382
Access Distance : 23,  Cummulative Freq : 2353420
Access Distance : 24,  Cummulative Freq : 2353472
Access Distance : 25,  Cummulative Freq : 2353509
Access Distance : 26,  Cummulative Freq : 2353525
Access Distance : 27,  Cummulative Freq : 2353556
Access Distance : 28,  Cummulative Freq : 2353589
Access Distance : 29,  Cummulative Freq : 2353624
Access Distance : 30,  Cummulative Freq : 2353639
Access Distance : 31,  Cummulative Freq : 2353661
Access Distance : 32,  Cummulative Freq : 2353685
Access Distance : 33,  Cummulative Freq : 2353702
Access Distance : 34,  Cummulative Freq : 2353722
Access Distance : 35,  Cummulative Freq : 2353736
Access Distance : 36,  Cummulative Freq : 2353762
Access Distance : 37,  Cummulative Freq : 2353777
Access Distance : 38,  Cummulative Freq : 2353792
Access Distance : 39,  Cummulative Freq : 2353808
Access Distance : 40,  Cummulative Freq : 2353824
Access Distance : 41,  Cummulative Freq : 2353840
Access Distance : 42,  Cummulative Freq : 2353860
Access Distance : 43,  Cummulative Freq : 2353886
Access Distance : 44,  Cummulative Freq : 2353920
Access Distance : 45,  Cummulative Freq : 2353962
Access Distance : 46,  Cummulative Freq : 2353995
Access Distance : 47,  Cummulative Freq : 2354020
Access Distance : 48,  Cummulative Freq : 2354035
Access Distance : 49,  Cummulative Freq : 2354081
Access Distance : 50,  Cummulative Freq : 2354098
Access Distance : 51,  Cummulative Freq : 2354121
Access Distance : 52,  Cummulative Freq : 2354134
Access Distance : 53,  Cummulative Freq : 2354151
Access Distance : 54,  Cummulative Freq : 2354161
Access Distance : 55,  Cummulative Freq : 2354172
Access Distance : 56,  Cummulative Freq : 2354175
Access Distance : 57,  Cummulative Freq : 2354191
Access Distance : 58,  Cummulative Freq : 2354211
Access Distance : 59,  Cummulative Freq : 2354258
Access Distance : 60,  Cummulative Freq : 2354310
