Access Distance : 1,  Cummulative Freq : 776073
Access Distance : 2,  Cummulative Freq : 777329
Access Distance : 3,  Cummulative Freq : 777826
Access Distance : 4,  Cummulative Freq : 778574
Access Distance : 5,  Cummulative Freq : 778945
Access Distance : 6,  Cummulative Freq : 779166
Access Distance : 7,  Cummulative Freq : 779420
Access Distance : 8,  Cummulative Freq : 779831
Access Distance : 9,  Cummulative Freq : 780114
Access Distance : 10,  Cummulative Freq : 780397
Access Distance : 11,  Cummulative Freq : 780515
Access Distance : 12,  Cummulative Freq : 780826
Access Distance : 13,  Cummulative Freq : 780893
Access Distance : 14,  Cummulative Freq : 781150
Access Distance : 15,  Cummulative Freq : 781211
Access Distance : 16,  Cummulative Freq : 781348
Access Distance : 17,  Cummulative Freq : 781396
Access Distance : 18,  Cummulative Freq : 781527
Access Distance : 19,  Cummulative Freq : 781564
Access Distance : 20,  Cummulative Freq : 781600
Access Distance : 21,  Cummulative Freq : 781625
Access Distance : 22,  Cummulative Freq : 781662
Access Distance : 23,  Cummulative Freq : 781701
Access Distance : 24,  Cummulative Freq : 781745
Access Distance : 25,  Cummulative Freq : 781779
Access Distance : 26,  Cummulative Freq : 781792
Access Distance : 27,  Cummulative Freq : 781822
Access Distance : 28,  Cummulative Freq : 781858
Access Distance : 29,  Cummulative Freq : 781881
Access Distance : 30,  Cummulative Freq : 781890
Access Distance : 31,  Cummulative Freq : 781912
Access Distance : 32,  Cummulative Freq : 781931
Access Distance : 33,  Cummulative Freq : 781955
Access Distance : 34,  Cummulative Freq : 781972
Access Distance : 35,  Cummulative Freq : 781982
Access Distance : 36,  Cummulative Freq : 782000
Access Distance : 37,  Cummulative Freq : 782012
Access Distance : 38,  Cummulative Freq : 782029
Access Distance : 39,  Cummulative Freq : 782042
Access Distance : 40,  Cummulative Freq : 782054
Access Distance : 41,  Cummulative Freq : 782061
Access Distance : 42,  Cummulative Freq : 782082
Access Distance : 43,  Cummulative Freq : 782095
Access Distance : 44,  Cummulative Freq : 782118
Access Distance : 45,  Cummulative Freq : 782137
Access Distance : 46,  Cummulative Freq : 782156
Access Distance : 47,  Cummulative Freq : 782171
Access Distance : 48,  Cummulative Freq : 782181
Access Distance : 49,  Cummulative Freq : 782189
Access Distance : 50,  Cummulative Freq : 782194
Access Distance : 51,  Cummulative Freq : 782210
Access Distance : 52,  Cummulative Freq : 782219
Access Distance : 53,  Cummulative Freq : 782226
Access Distance : 54,  Cummulative Freq : 782239
Access Distance : 55,  Cummulative Freq : 782253
Access Distance : 56,  Cummulative Freq : 782257
Access Distance : 57,  Cummulative Freq : 782268
Access Distance : 58,  Cummulative Freq : 782277
Access Distance : 59,  Cummulative Freq : 782287
Access Distance : 60,  Cummulative Freq : 782297
Access Distance : 61,  Cummulative Freq : 782311
Access Distance : 62,  Cummulative Freq : 782327
Access Distance : 63,  Cummulative Freq : 782341
Access Distance : 64,  Cummulative Freq : 782361
Access Distance : 65,  Cummulative Freq : 782383
Access Distance : 66,  Cummulative Freq : 782406
Access Distance : 67,  Cummulative Freq : 782425
Access Distance : 68,  Cummulative Freq : 782458
Access Distance : 69,  Cummulative Freq : 782479
Access Distance : 70,  Cummulative Freq : 782498
Access Distance : 71,  Cummulative Freq : 782516
Access Distance : 72,  Cummulative Freq : 782540
Access Distance : 73,  Cummulative Freq : 782569
Access Distance : 74,  Cummulative Freq : 782639
Access Distance : 75,  Cummulative Freq : 782674
Access Distance : 76,  Cummulative Freq : 782704
Access Distance : 77,  Cummulative Freq : 782727
Access Distance : 78,  Cummulative Freq : 782764
Access Distance : 79,  Cummulative Freq : 782809
Access Distance : 80,  Cummulative Freq : 782868
Access Distance : 81,  Cummulative Freq : 782918
Access Distance : 82,  Cummulative Freq : 782962
Access Distance : 83,  Cummulative Freq : 783028
Access Distance : 84,  Cummulative Freq : 783066
Access Distance : 85,  Cummulative Freq : 783115
Access Distance : 86,  Cummulative Freq : 783170
Access Distance : 87,  Cummulative Freq : 783226
Access Distance : 88,  Cummulative Freq : 783286
